Classifier,train_acc,Accuracy,Precision,Recall,F1-score
Random Forest,0.828,0.803,0.835,0.803,0.809
AdaBoost,0.716,0.72,0.741,0.72,0.727
Gradient Boosting,0.937,0.877,0.88,0.877,0.878
Decision Tree,0.679,0.669,0.763,0.669,0.682
XGBoost,0.903,0.866,0.87,0.866,0.867
